,Ubicacion,Latitud,Longitud
0,Hauptbahnhof,48.1407253,11.5569426
1,Sendlinger Tor,48.1334608,11.5668639
2,Kolumbusplatz,48.1198151,11.576652
3,Giesing,48.1111299,11.5960835
4,Scheidplatz,48.1714156,11.5728523
5,Hohenzollernplatz,48.1623677,11.5687654
6,Theresienstrasse,48.1515099,11.5644523
7,Olympiazentrum,48.1792984,11.5560899
8,Münchner Freiheit,48.161985,11.5865312
9,Universität,48.1503538,11.5811442
10,Implerstrasse,48.1201994,11.5484511
11,Studentenstadt,48.1834944,11.6076296
12,Nordfriedhof,48.1731876,11.596986
13,Arabellapark,48.1535552,11.6220625
14,Böhmerwaldplatz,48.1435048,11.6155997
15,Max-Weber-Platz,48.1356629,11.5978963
16,Karlsplatz,48.1394857,11.565622
17,Heimeranplatz,48.1330104,11.5314435
18,Laimer Platz,48.1354608,11.5019761
19,Ostbahnhof,48.1280775,11.6036296
20,Innsbrucker Ring,48.1204367,11.6187904
21,Neuperlach Zentrum,48.101184,11.6461739
22,Neuperlach Süd,48.0888217,11.6450199
23,Isartor,48.135104999999996,11.582039960442835
24,Donnersbergerbrücke,48.1426694,11.5365226
25,Laim,48.1395506,11.5021658
26,Pasing,48.1477854,11.4607008
27,Olympia-Einkaufszentrum,48.1827188,11.5302407
28,Harras,48.11697375,11.53585724962668
29,Moosach,48.1798949,11.5105712
30,Milbertshofen,48.1823848,11.5750432
31,Frankfurter Ring,48.1868168,11.5727203
32,Harthof,48.2043435,11.5693933
33,Feldmoching,48.2138224,11.5412829
34,Freimann,48.1919577,11.6142748
35,Fröttmaning,48.2118862,11.6167125
36,Rotkreuzplatz,48.1540479,11.5330186
37,Westfriedhof,48.170381,11.5284591
38,Thalkirchen,48.1028401,11.5459789
39,Obersendling,48.094555,11.5224629
40,Perlach,48.1000997,11.6306502
41,Josephsburg,48.1265726,11.6338089
42,Trudering,48.1260355,11.6633383
43,Messestadt Ost,48.1333782,11.7034068
44,Westpark,48.1179858,11.5162528
45,Holzapfelkreuth,48.116315,11.5018378
46,Klinikum Großhadern,48.1090781,11.4735768
47,Fürstenried West,48.0883657,11.4808304
48,Obermenzing,48.16257,11.4693724
49,Mangfallplatz,48.0970601,11.5791773
